name,gt,pgs_combo,pgs_surg2,pgs_only,fold
0041dfb1bf2f4909a6c1eb8ef8fc1e89,3,4,4,4,1
01d4a4ee50244f0bad3c0303d19d6368,2,3,2,2,1
022231f437ca492abdc9cf36b0e37909,2,2,3,2,1
03924486792a4962875aea8cae394940,4,5,4,3,1
03f874d0b6e847ab8aed4d2e9f1ab491,2,5,3,2,1
0409d88af3174509a56ddbe2e5921d1b,3,1,3,1,1
071715c769de43e590e1fd028c29dc77,5,4,5,4,1
076f7426605e4ab39f71072a2b09cd25,4,1,2,1,1
084fc6ab00eb42d7aa29b886f3e4c431,4,4,5,5,1
0aaf1034152d462fb6673c2d6d92c538,3,4,3,3,1
0c3b1b9ce7694ae8924db5c4686ecae1,2,1,2,1,1
0c5287add9884ffa81d127e8bdcbd53f,4,4,5,4,1
0cd4dc00f60a4f82a096cbeec1b795eb,1,1,1,1,1
0dd08060f18e45ca8400117aa644c3a1,5,5,5,4,1
0fec973f95d74918951128a05d1ac005,1,3,1,1,1
11af5bafc144439e959e56bb85f6bba9,4,4,4,4,2
148d79ec91f142bcaeb668de7a43f5fb,2,2,4,2,1
17a0292a49314f1d8f2dd66c02fcc319,2,4,3,3,2
184ed9f46fbb4b159a9c23585d8de915,1,1,1,1,1
18a428a69db448259572039e4c0b5853,4,4,4,5,2
1971efbe2e684e13ba042bc6ed76b4f1,3,3,3,2,1
1a3aabf8888646c8a0a7d96e31959323,3,4,3,3,1
1a536ce4d1514e68b454529908b2e0c9,2,1,2,2,2
1ad1c9dc153c4f018a907cf026bb4f38,1,1,1,1,1
1b7257e7f6bb4c2e96eb5c0e783f2983,3,3,3,3,2
1cd76ca09ddb4204a783bd245a6cc604,4,3,4,1,2
1fbe7a1c2a464bdcae7cfd09f9907137,1,1,1,1,1
2139ad0f16294a01850d291480183630,1,1,1,1,1
225cf1bf3a334505ae0dad5e27fc791e,1,1,2,2,2
23823c8cb3d248dbb1e0660ac006dd25,3,4,2,2,2
23c1a2a108ca49d2b7e88e6808ba3283,4,4,4,5,2
25c32fc5bdb044e49c6af8ab85393823,1,3,2,1,2
25c9740d3d444f14be2e5dfc33efc1e0,1,1,1,1,2
25d452d226e04821a4eb3ed1c605850f,2,2,2,2,2
2675e2cb3f774fecb43037152e22839f,3,1,1,1,2
271401a1821f46ce989541d4da92c568,1,1,1,1,2
284ec32e6b2c457eb7f00e9517f8f3d5,1,1,1,1,2
29cbb8bcd02e495fb3b8be22f04da85e,2,2,2,2,2
2a0acbc100a94a9c94594ea16966af6b,2,3,3,4,2
2a98f4b32b0f4c91b3f3fca0b1606519,2,2,2,2,3
2c04c9cc5ca240e6bd39b14632ed622a,1,1,2,1,2
2ce465fc857843e199103e0898107ee4,3,3,3,3,2
2d3be687240d4853bb4a3ab7fbcc8d9c,4,4,4,4,3
2d8152fb67d74166834e96d095225058,3,1,1,3,2
3012e3a3139c4e3da385d29420284f6b,3,2,3,2,3
305e28622b6e4057b972fbed660f7856,1,1,1,1,3
333a69650e064526b826b99104b988a0,4,3,4,3,3
341cb738ec334a0689b32225304a132a,1,1,2,1,3
36957bbfdb434ceeb99eb1e493a87479,3,3,3,5,3
371ceda6011848e2b10d4ddf16d72048,1,1,3,1,3
37fcf3da26da4f02a45d939a17c5afc2,4,4,5,4,3
390434b09dbc45d0a3b8ac7dc9917746,3,4,4,5,3
3a645aa2f86241eeb0f529b2e1c8f4dc,1,1,1,1,3
3cc65e5ee9444409a82627d8a61caf2c,1,1,1,1,3
3e037e487d3743978a62bf6926005e84,3,1,2,1,3
406b927bcd8c4dc9a15d3f3f036145cd,4,2,4,2,3
42bf6085c84f428cb03c93b187d68eb8,3,4,3,4,3
43d817d9b2624e2d8223097ee7937023,3,4,4,2,4
447441e63f7f4fae962b1157f4f8a968,1,1,1,1,3
44916540e8514bb3ac5fb99d9ecae4e2,4,4,3,1,4
45444da53a1a4e819e282cda6f2c2faf,2,1,3,2,3
